Tier,ADL,Type,Troop,ADL#,gold,silver,DC,SvMl,SvR,SvMt,SvF,HealthBase,StrengthBase
0,X,X,Unknown,1,0,0,0,0,0,0,0,75000,25000
9,A,X,GEpicHuntr,1,8,0,0,1000,1000,1000,1000,75000,25000
9,A,F,M9Wyvern,63,500,0,0,75,0,0,0,2070000,690000
9,A,O,M9Warden,43,340,0,0,0,70,0,0,1410000,470000
9,A,R,M9Cannoneer,40,320,0,0,0,0,0,65,1320000,440000
9,A,E,M9Salamander,38,300,0,0,0,0,65,0,1230000,410000
9,A,F,GGriffEgal,20,160,0,0,0,0,1999,0,660000,220000
9,A,F,SJagoRLion,20,160,0,0,0,0,1000,0,660000,220000
9,A,O,GMounted,2,16,0,0,0,1667,0,0,66000,22000
9,A,O,SMounted,2,16,0,0,0,833,0,0,66000,22000
9,A,R,SRanged,1,8,0,0,667,0,0,859,33000,11000
9,A,E,SMelee,1,8,0,0,0,0,500,0,33000,11000
9,A,R,GRanged,1,8,0,0,1333,0,0,1717,33000,11000
9,A,E,GMelee,1,8,0,0,0,0,1000,0,33000,11000
9,D,E,M89Giant,55,880,85000,2200,0,0,1486,0,3630000,1210000
9,D,F,M89Element,54,864,85000,2160,1871,0,0,0,3570000,1190000
9,D,O,M89Dragon,53,848,85000,2120,0,1922,0,0,3510000,1170000
9,D,R,M89Beast,52,832,85000,2080,0,0,0,1410,3450000,1150000
8,D,E,M89Giant,55,880,72100,2200,0,0,991,0,2010000,670000
8,D,F,M89Element,54,864,70800,2160,701,0,0,0,1980000,660000
8,D,O,M89Dragon,53,848,69500,2120,0,1281,0,0,1950000,650000
8,D,R,M89Beast,52,832,68200,2080,0,0,0,940,1920000,640000
7,D,E,M7Element,45,720,52100,1800,0,0,387,0,930000,310000
7,D,F,M7Dragon,44,704,50900,1760,570,0,0,0,900000,300000
7,D,R,M7Giant,43,688,49700,1720,752,0,0,547,870000,290000
7,D,O,M7Beast,41,656,47400,1640,0,752,0,0,840000,280000
6,D,E,M6Element,35,560,76900,1400,486,0,380,0,390000,130000
6,D,E,M6Dragon,33,528,72500,1320,0,0,258,0,360000,120000
6,D,O,M6Giant,30,480,65900,1200,0,380,0,0,330000,110000
6,D,E,M6Beast,34,544,74700,1360,0,0,623,0,390000,130000
5,D,O,M5Element,21,336,17800,840,0,415,0,0,132000,44000
5,D,O,M5Dragon,20,320,16900,800,0,253,0,0,126000,42000
5,D,E,M5Giant,23,368,19500,920,0,0,334,0,144000,48000
5,D,F,M5Beast,22,352,18600,880,0,0,0,253,138000,46000
4,D,F,M4Element,15,240,10400,600,0,0,0,223,51000,17000
4,D,R,M4Dragon,13,260,9030,520,169,216,0,0,45000,15000
4,D,E,M4Giant,11,176,7640,440,0,0,115,0,39000,13000
4,D,R,M4Beast,10,160,6940,400,277,0,0,108,36000,12000
3,D,R,M3Element,3,48,1620,120,113,0,0,114,5700,1900
3,D,F,M3Dragon,7,112,3780,280,0,0,185,0,13500,4500
3,D,F,M3Giant,8,128,4320,320,185,0,0,0,15600,5200
3,D,O,M3Beast,6,96,3240,240,0,113,144,0,11700,3900
9,L,F,GCorax,20,80,7600,0,0,0,1999,0,330600,110200
9,L,F,SJagoRLion,20,80,9160,0,0,0,1000,0,330600,110200
8,L,F,GCorax,20,80,6800,0,0,0,1333,0,183600,61200
8,L,F,SJagoRLion,20,80,8160,0,0,0,667,0,183600,61200
7,L,F,GGriffEgal,20,80,6000,0,0,0,888,0,102000,34000
6,L,F,GGriffEgal,20,80,5200,0,0,0,592,0,57000,19000
9,L,O,GMounted,2,8,760,0,0,1667,0,0,33060,11020
9,L,O,SMounted,2,8,916,0,0,833,0,0,33060,11020
